Wall time,Step,Value
1732932627.2715206,188256,-9.110864639282227
1732932639.710815,188832,-9.747944831848145
1732932641.6303365,188928,-9.66128921508789
1732932645.9161606,189120,-9.530235290527344
1732932650.3553905,189312,-9.332472801208496
1732932669.8189569,190176,-8.955815315246582
1732932672.0033708,190272,-8.94281005859375
1732932674.1923573,190368,-8.83525276184082
1732932676.4022722,190464,-8.738018989562988
1732932707.4272847,191808,-9.072419166564941
1732932716.1106892,192192,-9.335219383239746
1732932724.9641068,192576,-9.805906295776367
1732932727.0389934,192672,-9.851381301879883
1732932733.4885867,192960,-10.172492980957031
1732932735.711241,193056,-9.970894813537598
1732932742.5298553,193344,-9.714401245117188
1732932746.6771648,193536,-9.77103328704834
1732932751.0670347,193728,-9.77787971496582
1732932761.7822566,194208,-9.82953929901123
1732932768.674127,194496,-9.423011779785156
1732932773.201793,194688,-9.360055923461914
1732932775.3992527,194784,-9.732616424560547
1732932779.8147197,194976,-9.649800300598145
1732932786.5394268,195264,-9.322394371032715
1732932793.1423998,195552,-9.276873588562012
1732932797.5376809,195744,-9.450486183166504
1732932804.3300838,196032,-9.618999481201172
1732932811.0778158,196320,-9.044661521911621
1732932813.2368228,196416,-8.999094009399414
1732932819.8019102,196704,-9.808460235595703
1732932826.3609996,196992,-10.017722129821777
1732932844.0646625,197760,-9.838457107543945
1732932846.2441866,197856,-9.981783866882324
1732932850.6187212,198048,-9.819575309753418
1732932861.8455656,198528,-9.658166885375977
1732932872.8025358,199008,-9.26624584197998
1732932874.8594856,199104,-9.213810920715332
1732932876.9678879,199200,-9.165637016296387
1732932881.1026785,199392,-9.074150085449219
1732932883.2166643,199488,-9.180364608764648
1732932887.3907454,199680,-9.230441093444824
1732932891.599951,199872,-9.07868480682373
1732932898.1015441,200160,-9.647270202636719
1732932900.3007658,200256,-9.667925834655762
1732932909.252449,200640,-9.933380126953125
1732932920.4466846,201120,-10.558231353759766
1732932924.843345,201312,-10.354353904724121
1732932938.1815176,201888,-10.222169876098633
1732932940.3304694,201984,-10.210308074951172
1732932942.4795108,202080,-10.203495979309082
1732932944.6898453,202176,-10.168375968933105
1732932946.8663816,202272,-10.134505271911621
1732932953.6966867,202560,-9.46927547454834
1732932958.0754826,202752,-9.335779190063477
1732932964.5363686,203040,-9.171414375305176
1732932966.7042875,203136,-9.231375694274902
1732932973.3397934,203424,-8.895194053649902
1732932977.7408447,203616,-8.235004425048828
1732932981.9529665,203808,-8.353911399841309
1732932984.1649501,203904,-8.260930061340332
1732932986.3929765,204000,-8.296926498413086
1732932995.2504778,204384,-8.46519660949707
